Date,A,B,C,D,E,F
3/14/2020,9,23,26,30,32,8
3/11/2020,4,29,49,50,67,2
3/7/2020,7,15,21,33,62,23
3/4/2020,18,43,58,60,68,14
2/29/2020,24,44,46,50,51,13
2/26/2020,8,27,29,36,47,24
2/22/2020,25,37,39,61,62,11
2/19/2020,10,12,15,19,56,19
2/15/2020,16,32,35,36,46,3
2/12/2020,14,47,54,55,68,25
2/8/2020,35,49,50,59,66,6
2/5/2020,23,30,35,41,57,2
2/1/2020,12,33,54,57,60,13
1/29/2020,9,12,15,31,60,2
1/25/2020,2,9,17,36,67,18
1/22/2020,11,33,44,59,67,8
1/18/2020,20,24,38,56,68,18
1/15/2020,39,41,53,55,68,19
1/11/2020,3,21,23,31,59,3
1/8/2020,2,4,7,43,56,22
1/4/2020,1,11,21,25,54,7
1/1/2020,49,53,57,59,62,26
12/28/2019,20,23,39,59,60,18
12/25/2019,2,4,16,30,46,20
12/21/2019,19,31,35,50,67,14
12/18/2019,14,18,26,39,68,9
12/14/2019,3,6,12,32,64,19
12/11/2019,24,29,42,44,63,10
12/7/2019,18,42,53,62,66,25
12/4/2019,8,27,44,51,61,14
11/30/2019,15,35,42,63,68,18
11/27/2019,15,26,37,53,55,21
11/23/2019,28,35,38,61,66,23
11/20/2019,7,15,39,40,57,12
11/16/2019,14,22,26,55,63,26
11/13/2019,23,26,27,28,66,11
11/9/2019,14,17,35,38,60,25
11/6/2019,15,28,46,62,64,17
11/2/2019,3,23,32,37,58,22
10/30/2019,19,22,52,56,67,21
10/26/2019,3,20,48,54,59,4
10/23/2019,5,12,50,61,69,23
10/19/2019,14,27,29,59,65,12
10/16/2019,1,5,25,63,67,3
10/12/2019,12,29,34,53,65,23
10/9/2019,5,18,33,43,65,2
10/5/2019,6,14,36,51,54,4
10/2/2019,4,8,10,43,53,7
9/28/2019,15,23,34,51,55,4
9/25/2019,37,43,44,45,53,25
9/21/2019,1,9,22,36,68,22
9/18/2019,14,19,39,47,51,15
9/14/2019,11,27,31,36,67,11
9/11/2019,6,17,24,53,57,3
9/7/2019,11,20,41,42,56,6
9/4/2019,4,8,30,52,59,2
8/31/2019,14,41,50,56,57,18
8/28/2019,9,32,37,41,56,14
8/24/2019,5,12,20,21,47,1
8/21/2019,12,21,22,29,32,21
8/17/2019,18,21,24,30,60,20
8/14/2019,10,13,30,51,69,10
8/10/2019,35,41,44,58,59,3
8/7/2019,8,32,47,53,59,3
8/3/2019,3,6,45,66,68,13
7/31/2019,14,37,47,55,67,6
7/27/2019,1,19,31,48,61,6
7/24/2019,22,29,35,53,56,13
7/20/2019,5,26,36,64,69,19
7/17/2019,19,43,47,60,68,10
7/13/2019,13,23,32,35,68,21
7/10/2019,7,9,26,44,68,3
7/6/2019,4,8,23,46,65,1
7/3/2019,40,43,45,50,61,25
6/29/2019,13,17,24,59,62,8
6/26/2019,1,5,16,22,54,24
6/22/2019,3,6,11,14,66,21
6/19/2019,4,18,21,26,38,1
6/15/2019,8,11,14,16,49,14
6/12/2019,5,35,38,42,57,13
6/8/2019,9,13,42,48,60,18
6/5/2019,17,23,28,34,38,8
6/1/2019,6,15,34,45,52,8
5/29/2019,3,32,34,42,61,7
5/25/2019,1,2,39,43,66,2
5/22/2019,7,10,20,44,57,3
5/18/2019,2,10,25,66,67,26
5/15/2019,7,17,33,61,68,4
5/11/2019,6,8,9,37,40,26
5/8/2019,1,45,53,64,66,3
5/4/2019,6,16,23,30,61,2
5/1/2019,5,23,28,56,66,17
4/27/2019,2,29,41,45,62,6
4/24/2019,6,32,35,36,65,4
4/20/2019,3,27,30,63,65,1
4/17/2019,1,15,17,46,66,15
4/13/2019,4,17,26,32,49,10
4/10/2019,12,21,23,39,67,6
4/6/2019,15,33,43,59,60,8
4/3/2019,16,19,25,32,49,18
3/30/2019,21,52,54,64,68,4
3/27/2019,16,20,37,44,62,12
3/23/2019,24,25,52,60,66,5
3/20/2019,10,14,50,53,63,21
3/16/2019,30,34,39,53,67,11
3/13/2019,18,36,45,47,69,14
3/9/2019,5,6,45,55,59,14
3/6/2019,6,10,21,35,46,23
3/2/2019,1,19,25,27,68,21
2/27/2019,21,31,42,49,59,23
2/23/2019,4,6,14,20,32,13
2/20/2019,27,49,50,51,52,2
2/16/2019,29,30,41,48,64,1
2/13/2019,2,8,14,24,69,26
2/9/2019,1,2,3,7,39,25
2/6/2019,5,13,28,38,63,21
2/2/2019,10,17,18,43,65,13
1/30/2019,2,12,16,29,54,6
1/26/2019,8,12,20,21,32,10
1/23/2019,23,25,47,48,50,24
1/19/2019,5,8,41,65,66,20
1/16/2019,14,29,31,56,61,1
1/12/2019,7,36,48,57,58,24
1/9/2019,6,19,37,49,59,22
1/5/2019,3,7,15,27,69,19
1/2/2019,8,12,42,46,56,12
12/29/2018,12,42,51,53,62,25
12/26/2018,5,25,38,52,67,24
12/22/2018,21,28,30,40,59,26
12/19/2018,15,29,31,37,43,16
12/15/2018,8,38,43,52,55,17
12/12/2018,4,9,21,29,64,26
12/8/2018,14,32,34,46,61,10
12/5/2018,9,11,36,37,38,11
12/1/2018,10,11,47,55,58,26
11/28/2018,4,19,59,68,69,21
11/24/2018,11,33,51,56,58,18
11/21/2018,7,14,23,38,55,18
11/17/2018,6,8,20,52,68,5
11/14/2018,7,42,49,62,69,23
11/10/2018,5,29,34,53,57,24
11/7/2018,26,28,34,42,50,25
